1	Mit értünk hajón a Szabályzat I. része alapján? Hajó	"a nagyhajó, a kishajó, a vízi sporteszköz és az úszóm?."	"a belvízi hajó, beleértve a kishajót és kompot, továbbá a tengeri hajó és az úszómunkagép."	minden vízijárm? és úszómunkagép.		2
70	Milyen el?írás vonatkozik az aknamentesítéssel foglalkozó hajó megközelítésére? Az aknamentesítéssel foglalkozó hajó farát	500 m-nél kisebb távolságra tilos megközelíteni!	1000 m-nél kisebb távolságra tilos megközelíteni!	150 m-nél kisebb távolságra tilos megközelíteni.	teszt-1672.jpg	2
71	Milyen el?írás vonatkozik az aknamentesítéssel foglalkozó hajó megközelítésére? Az aknamentesítéssel foglalkozó hajó farát	500 m-nél kisebb távolságra tilos megközelíteni!	1000 m-nél kisebb távolságra tilos megközelíteni!	150 m-nél kisebb távolságra tilos megközelíteni.	teszt-1683.jpg	2
72	Milyen el?írás vonatkozik a vízisízésre és hasonló tevékenység végzésére az alábbiak közül?	"A vontató hajón a vezet?t egy olyan személynek kell kísérnie, akit a vontatókötél kezelésével és a vontatott személy figyelemmel kísérésével bíztak meg és aki ennek a feladatnak az ellátására képes."	"A vontatókötelet csak akkor szabad vonszolni, ha az felúszó anyagú."	Vízisí és hasonló tevékenység csak napkeltét?l napnyugtáig folytatható.		1
73	Milyen el?írás vonatkozik a vízisízésre és hasonló tevékenység végzésére az alábbiak közül?	"A tevékenység csak a részükre kijelölt hajóúton folytatható, ahol kell? távolságot kell tartani minden hasonló tevékenységet végz?t?l."	"A vontatókötelet a vízben csak akkor szabad vonszolni, ha abba már vontatott személy nem kapaszkodik."	"Ha a vontató hajó és a vontatott személy nem a részükre külön kijelölt hajóútban tartózkodik, köteles kell? távolságot tartani minden más hajótól, a parttól és a fürd?z?kt?l."		3
74	Milyen el?írás vonatkozik a vízisízésre és hasonló tevékenység végzésére az alábbiak közül?	"A vontatókötelet tilos vonszolni, ha abba vontatott személy nem kapaszkodik!"	Ilyen tevékenység csak hatóság által kijelölt zárt pályán folytatható.	Vízisí és hasonló tevékenység csak napnyugtától napkeltéi nem folytatható.		1
75	"Melyik állítás igaz? Vízisízés és hasonló tevékenység (pl. vízi sport- és fürd?eszköz használata, ejt?erny?s vontatás)"	"csak hajóúton kívül, partközelben megengedett."	"csak a hajóúton belül, parttól legalább 50 méter távolságon túl megengedett."	csak nappal és jó látási viszonyok között megengedett.		3
76	Folytassa! Ejt?erny?s vontatás	"csak hajóúton kívül, partközelben megengedett."	éjszaka és korlátozott látási viszonyok között tilos!	csak jó látási viszonyok között és a hajóúton belül megengedett.		2
77	"Halászati tevékenységgel összefüggésben, milyen tilalmat határoz meg a Szabályzat?"	Tilos a víziút halászatra kijelölt helyén kívül halászeszközt elhelyezni!	"Tilos a hajóúton, annak közelében vagy veszteglésére kijelölt helyen halászeszközt elhelyezni!"	"Tilos a hajóúton kívül, illetve annak közelében halászeszközt elhelyezni!"		2
78	Milyen el?írás vonatkozik a halászattal foglalkozó hajó megközelítésére a Szabályzat I. része alapján? Tilos	a halászattal foglalkozó hajó farának közelében elhaladni!	a halászattal foglalkozó hajó mögött 100 m-nél kisebb távolságon belül elhaladni!	a halászattal foglalkozó hajó mögött 50 m-nél kisebb távolságon belül elhaladni!	xxx-4178.jpg	1
79	Milyen el?írás vonatkozik a halászattal foglalkozó hajó megközelítésére a Szabályzat I. része alapján? Tilos	a halászattal foglalkozó hajó farának közelében elhaladni!	a halászattal foglalkozó hajó mögött 100 m-nél kisebb távolságon belül elhaladni!	a halászattal foglalkozó hajó mögött 50 m-nél kisebb távolságon belül elhaladni!	xxx-4180.jpg	1
80	"Kishajójáról búvárkodni szeretne. Igaz vagy hamis? Tilos külön engedély nélkül búvár-tevékenységet folytatni olyan helyeken, ahol az a hajózást akadályozhatja!"	Igaz.	Hamis.			1
81	"Kishajójáról búvárkodni szeretne. Igaz vagy hamis? Kompok szokásos útvonalán engedély nélkül folytatható búvár-tevékenység menetrendi id? túl, ha az úszólétesítmény viseli az el?írt jelzéseket."	Igaz.	Hamis.			2
82	"Kishajójáról búvárkodni szeretne. Igaz vagy hamis? Kiköt?k bejárata el?tt és a bejárat körzetében engedély nélkül folytatható búvár-tevékenység, ha az úszólétesítmény viseli az el?írt jelzéseket."	Igaz.	Hamis.		teszt-0472.jpg	2
83	"Kishajójáról búvárkodni szeretne. Igaz vagy hamis? Tilos külön engedély nélkül búvár-tevékenységet folytatni olyan helyeken, ahol az a hajózást akadályozhatja, különösen a kiköt?ben!"	Igaz.	Hamis.			1
84	Milyen el?írás tartalmaz a Szabályzat I. része a búvármunkát végz? hajó közelében történ? elhajózásra?	Minden hajó köteles legalább 100 m távolságot tartani t?le.	A mellette történ? elhajózás során a sebesség nem lehet 20 km/óránál nagyobb.	Minden hajó köteles kell? távolságot tartani az el?írt jelzéseket visel? búvár-tevékenységet folytató hajótól.	teszt-1665.jpg	3
85	Milyen el?írás tartalmaz a Szabályzat I. része a búvármunkát végz? hajó közelében történ? elhajózásra?	Minden hajó köteles legalább 100 m távolságot tartani t?le.	A mellette történ? elhajózás során a sebesség nem lehet 20 km/óránál nagyobb.	Minden hajó köteles kell? távolságot tartani az el?írt jelzéseket visel? búvár-tevékenységet folytató hajótól.	teszt-1423.jpg	3
86	Milyen el?írás tartalmaz a Szabályzat I. része a búvármunkát végz? hajó közelében történ? elhajózásra?	Minden hajó köteles legalább 100 m távolságot tartani t?le.	A mellette történ? elhajózás során a sebesség nem lehet 20 km/óránál nagyobb.	Minden hajó köteles kell? távolságot tartani az el?írt jelzéseket visel? búvár-tevékenységet folytató hajótól.	xxx-1859.jpg	3
87	Milyen el?írás tartalmaz a Szabályzat I. része a búvármunkát végz? hajó közelében történ? elhajózásra?	Minden hajó köteles legalább 100 m távolságot tartani t?le.	A mellette történ? elhajózás során a sebesség nem lehet 20 km/óránál nagyobb.	Minden hajó köteles kell? távolságot tartani az el?írt jelzéseket visel? búvár-tevékenységet folytató hajótól.	teszt-1593.jpg	3
88	Mit tekintünk hajó-meder távolságnak?	A hajótest legalacsonyabb és a meder legmagasabb pontja közötti távolság.	A hajó középvonala és a közelebbi part közötti távolság.	A hajótest legalacsonyabb pontjának vízfelszínt?l mért távolsága.		1
89	"Milyen küls? körülmények befolyásolják kishajó vezetését? A Szabályzat más rendelkezésein túl, kishajót"	a természeti környezetet nem befolyásoló módon kell vezetni.	"az id?járási és a vízállás változás, valamint a hajózás biztonságát befolyásoló egyéb körülményeknek megfelel?en kell vezetni."	"az id?járási, a forgalmi és a hajóútviszonyoknak, valamint a hajózás biztonságát befolyásoló egyéb körülményeknek megfelel?en kell vezetni."		3
90	Milyen el?írást vonatkozik kishajóra a megengedett legnagyobb - a személyzetet és az utasokat magában foglaló - befogadóképességének kihasználhatósága szempontjából?	Eltér? rendelkezés hiányában két tíz éven aluli gyermek egy személynek tekinthet?.	Két tizennégy éven aluli gyermek egy személynek tekinthet?.	Eltér? rendelkezés hiányában két tíz éven aluli gyermeket a befogadóképesség kihasználhatósága szempontjából nem kell figyelembe venni.		1
91	"Kishajónál, milyen mértékig alkalmazható az a szabály, amely szerint két tíz éven aluli gyermek egy személynek tekinthet?? Eltér? rendelkezés hiányában"	"az össz - személyzetet és az utasokat is magában foglaló - befogadóképesség 25%-ára alkalmazható, ha minden gyermek ment?mellényt visel."	"legfeljebb a megengedett legnagyobb utaslétszám 10 %-ra, ha mindenkinek van ül?helye."	"legfeljebb a megengedett legnagyobb (személyzet nélküli) utaslétszám 25%-ára alkalmazható, ha minden utasnak van ül?helye."		3
92	"Kishajóval a Dunán hajózik. Hogyan alkalmazható az a szabály, amely szerint két tíz éven aluli gyermek egy személynek tekinthet? a befogadóképesség kihasználhatósága szempontjából?"	"Az össz - személyzetet és az utasokat is magában foglaló - befogadóképesség 25%-ára alkalmazható, ha minden gyermek ment?mellényt visel."	"Legfeljebb a megengedett legnagyobb utaslétszám 10 %-ra alkalmazható, ha mindenkinek van ül?helye."	"Legfeljebb a megengedett legnagyobb (személyzet nélküli) utaslétszám 25%-ára alkalmazható, ha minden utasnak van ül?helye."		3
93	"Kishajóval a Tiszán hajózik. Hogyan alkalmazható az a szabály, amely szerint két tíz éven aluli gyermek egy személynek tekinthet? a befogadóképesség kihasználhatósága szempontjából?"	"Az össz - személyzetet és az utasokat is magában foglaló - befogadóképesség 25%-ára alkalmazható, ha minden gyermek ment?mellényt visel."	"Legfeljebb a megengedett legnagyobb (személyzet nélküli) utaslétszám 25%-ára alkalmazható, ha minden utasnak van ül?helye."	"Legfeljebb a megengedett legnagyobb - személyzetet és az utasokat is magában foglaló - létszám 10 %-ra alkalmazható, ha mindenkinek van ül?helye."		2
94	"Kishajóval a Velencei-tavon hajózik. Hogyan alkalmazható az a szabály, amely szerint két tíz éven aluli gyermek egy személynek tekinthet? a befogadóképesség kihasználhatósága szempontjából?"	"Legfeljebb a megengedett legnagyobb (személyzet nélküli) utaslétszám 25%-ára alkalmazható, ha minden utasnak van ül?helye."	"Az össz - személyzetet és az utasokat is magában foglaló - befogadóképesség 25%-ára alkalmazható, ha minden gyermek ment?mellényt visel."	"Legfeljebb a megengedett legnagyobb utaslétszám 20 %-ra alkalmazható, ha mindenkinek van ül?helye."		1
95	"Kishajóval a Balatonon hajózik. Hogyan alkalmazható az a szabály, amely szerint két tíz éven aluli gyermek egy személynek tekinthet? a befogadóképesség kihasználhatósága szempontjából?"	"Az össz - személyzetet és az utasokat is magában foglaló - befogadóképesség 10%-ára alkalmazható, ha minden gyermek ment?mellényt visel."	"Legfeljebb a megengedett legnagyobb (személyzet nélküli) utaslétszám 10%-ára alkalmazható, ha minden utasnak van ül?helye."	"Legfeljebb a megengedett legnagyobb (személyzet nélküli) utaslétszám 25%-ára alkalmazható, ha minden utasnak van ül?helye."		2
96	"Válassza ki azt a helyzetet vagy körülményt, amely miatt megtiltható a kishajó elindulása! Az illetékes hatóság megtilthatja az elindulás, ha"	"a kishajó hajózásra alkalmatlan vagy balesetet okozott, és vezet?je bejelentési kötelezettségének nem tett eleget."	a kishajó el?tt álló víziút-szakaszon kedvez?tlen hajózási útviszonyok (sekély gázlók) alakultak ki.	a kishajó nem egyenlítette ki egy kiköt? igénybevételével járó valamennyi fizetési kötelezettségét.		1
97	"Válassza ki azt a helyzetet vagy körülményt, amely miatt megtiltható a kishajó elindulása! Az illetékes hatóság megtilthatja az elindulás, ha"	a kishajó vezet?je nem jelentette be a kit?zés valamely jelének üzemképtelenségét.	a kishajó vezet?je ellen a vízi közlekedés biztonsága elleni b?ncselekmény alapos gyanúja miatt eljárás indult.	a kishajó üzemképességet igazoló okmánya a következ? napon érvényét veszíti.		2
98	"Az alábbiak közül, milyen el?írások betartását teszi kötelez?vé a Szabályzat a kishajó vezet?je és személyzete számára?"	A környezetvédelmi hirdetmények rendelkezéseit is be kell tartaniuk.	A hajósoknak szóló tájékoztatókban kiadott rendelkezéseket is be kell tartaniuk.	A hajózási hatóság által kibocsátott közlekedési rendet is be kell tartaniuk.		3
99	"Az alábbiak közül, milyen el?írások betartását teszi kötelez?vé a Szabályzat a kishajó vezet?je és személyzete számára?"	A hajózási létesítmények üzemeltetési rendjét is be kell tartaniuk.	A rend?rhatóság hirdetményeit is be kell tartaniuk.	A hajósoknak szóló tájékoztatókban kiadott rendelkezéseket is be kell tartaniuk.		1
100	"Milyen magatartást kell tanúsítania kishajójával, ha a felügyeleti tevékenységet végz? hajó álló helyzetben is viseli a megkülönböztet? kék villogó fényt?"	A kishajók köteles egy hosszú figyelmeztet? hangjelzést adni és legalább 50 m oldaltávolságot tartani.	A kishajó köteles az elhaladás során menetsebességét csökkenteni és attól a lehet? legnagyobb távolságot tartani.	A kishajó köteles rádiótelefonon bejelentkezni a megkülönböztet? jelzést visel? hajónak és kérni az elhaladás engedélyezését.	xxx-3923.jpg	2
101	"Milyen magatartást kell tanúsítania kishajójával, ha a felügyeleti tevékenységet végz? hajó álló helyzetben is viseli a megkülönböztet? kék villogó fényt?"	A kishajók köteles egy hosszú figyelmeztet? hangjelzést adni és legalább 50 m oldaltávolságot tartani.	A kishajó köteles az elhaladás során menetsebességét csökkenteni és attól a lehet? legnagyobb távolságot tartani.	A kishajó köteles rádiótelefonon bejelentkezni a megkülönböztet? jelzést visel? hajónak és kérni az elhaladás engedélyezését.	xxx-3924.jpg	2
102	Milyen el?írás vonatkozik menetben lév? nagyhajó útirányának keresztezésére kishajóval (kivéve a hajó kishajóját)?	Haladási irányában 500 m-en belül tilos keresztezni!	Haladási irányában 1000 m-en belül tilos keresztezni!	Annak zavarása nélkül szabad keresztezni útirányát.		2
103	Milyen távolságon belül tilos keresztezni haladási irányában a menetben lév? gépi er?vel haladó nagyhajót gépi er?vel haladó kishajóval (kivéve a hajó kisgéphajóját)?	Tilos 300 m-en belül útirányát keresztezni!	Tilos 500 m-en belül útirányát keresztezni!	Tilos 1000 m-en belül útirányát keresztezni!	teszt-2312.jpg	3
104	Milyen távolságon belül tilos keresztezni haladási irányában a menetben lév? vitorlával haladó nagyhajót gépi er?vel haladó kishajóval (kivéve a hajó kisgéphajóját)?	Tilos 1000 m-en belül útirányát keresztezni!	Tilos 300 m-en belül útirányát keresztezni!	Tilos 500 m-en belül útirányát keresztezni!	xxx-3231.jpg	1
